Jahr;Internationale Studenten;Schweizer Studenten;Studenten_total;Internationale Studentinnen;Schweizer Studentinnen;Studentinnen_total;Studierende_total;Theologie_m;Theologie_f;Theologie_total;Jurisprudenz_m;Jurisprudenz_f;Jurisprudenz_total;Medizin_m;Medizin_f;Medizin_total;Philosophie1_m;Philosophie1_f;Philosophie1_total;Psychologie_m;Psychologie_f;Psychologie_total;Wirtschaft_m;Wirtschaft_f;Wirtschaft_total;Philosophie2_m;Philosophie2_f;Philosophie2_total;UniversitätBasel_m;UniversitätBasel_f;UniversitätBasel_total;Lehrerausbildung_m;Lehrerausbildung_f;Lehrerausbildung_total;AdvancedStudies_m;AdvancedStudies_f;AdvancedStudies_total;Bildungswissenschaften_m;Bildungswissenschaften_f;Bildungswissenschaften_total;Philosophie_m;Philosophie_f;Philosophie_total
2019;1679;4069;5748;2036;5581;7617;13365;50;56;106;507;695;1202;1279;1671;2950;1116;1861;2977;247;775;1022;758;421;1179;1518;1424;2942;98;170;268;0;0;0;137;417;554;38;127;165;0;0;0
2013;1668;4321;5989;1912;5372;7284;13273;66;53;119;548;735;1283;1095;1319;2414;1201;1974;3175;192;697;889;954;479;1433;1613;1424;3037;81;120;201;0;0;0;239;483;722;0;0;0;0;0;0
2010;1385;4129;5514;1751;5112;6863;12377;57;60;117;524;695;1219;969;1237;2206;1164;2060;3224;181;657;838;816;396;1212;1523;1272;2795;62;89;151;25;38;63;193;359;552;0;0;0;0;0;0
2008;1204;4059;5263;1521;5052;6573;11836;62;64;126;568;698;1266;868;1197;2065;1187;2015;3202;189;715;904;740;313;1053;1367;1122;2489;38;60;98;61;96;157;183;293;476;0;0;0;0;0;0
2006;1055;3719;4774;1269;4596;5865;10639;50;57;107;566;637;1203;794;1078;1872;1080;1760;2840;170;651;821;670;288;958;1216;1049;2265;19;26;45;87;98;185;122;220;342;0;0;0;0;0;0
2004;938;3393;4331;970;3927;4897;9228;62;62;124;595;617;1212;722;985;1707;917;1457;2374;142;487;629;664;260;924;1126;922;2048;0;0;0;103;107;210;0;0;0;0;0;0;0;0;0
2002;833;3121;3954;801;3281;4082;8036;67;72;139;589;572;1161;671;776;1447;919;1601;2520;0;0;0;629;226;855;959;733;1692;0;0;0;120;102;222;0;0;0;0;0;0;0;0;0
2000;801;3231;4032;626;2954;3580;7612;80;56;136;611;526;1137;668;630;1298;839;1310;2149;0;0;0;691;199;890;957;685;1642;0;0;0;186;174;360;0;0;0;0;0;0;0;0;0
1998;798;3546;4344;596;2976;3572;7916;59;50;109;685;549;1234;799;656;1455;854;1247;2101;0;0;0;714;211;925;1076;713;1789;0;0;0;157;146;303;0;0;0;0;0;0;0;0;0
1997;814;3617;4431;612;2945;3557;7988;65;55;120;705;528;1233;819;652;1471;839;1224;2063;0;0;0;749;205;954;1085;753;1838;0;0;0;169;140;309;0;0;0;0;0;0;0;0;0
1993;821;3727;4548;600;2791;3391;7939;93;75;168;680;497;1177;821;633;1454;777;1102;1879;0;0;0;779;258;1037;1214;710;1924;0;0;0;184;116;300;0;0;0;0;0;0;0;0;0
1989;610;3537;4147;377;2238;2615;6762;135;72;207;528;327;855;856;525;1381;621;790;1411;0;0;0;713;194;907;1157;577;1734;0;0;0;137;130;267;0;0;0;0;0;0;0;0;0
1987;510;3775;4285;327;2101;2428;6713;159;53;212;564;287;851;979;540;1519;1298;880;2178;0;0;0;0;0;0;1105;517;1622;0;0;0;180;151;331;0;0;0;0;0;0;0;0;0
1983;411;3847;4258;289;1901;2190;6448;146;64;210;669;310;979;955;452;1407;1121;680;1801;0;0;0;0;0;0;990;417;1407;0;0;0;377;267;644;0;0;0;0;0;0;0;0;0
1980;343;3599;3942;212;1561;1773;5715;140;49;189;602;238;840;1004;381;1385;947;560;1507;0;0;0;0;0;0;864;324;1188;0;0;0;385;221;606;0;0;0;0;0;0;0;0;0
1979;337;3587;3924;193;1506;1699;5623;119;44;163;594;237;831;1084;377;1461;904;530;1434;0;0;0;0;0;0;835;287;1122;0;0;0;388;224;612;0;0;0;0;0;0;0;0;0
1972;565;3061;3626;203;920;1123;4749;95;29;124;381;96;477;1189;295;1484;934;389;1323;0;0;0;0;0;0;780;179;959;0;0;0;247;135;382;0;0;0;0;0;0;0;0;0
1969;738;2628;3366;219;729;948;4314;112;29;141;378;56;434;1025;261;1286;969;349;1318;0;0;0;0;0;0;771;201;972;0;0;0;111;52;163;0;0;0;0;0;0;0;0;0
1968;755;2414;3169;204;640;844;4013;114;17;131;383;42;425;935;247;1182;883;301;1184;0;0;0;0;0;0;737;175;912;0;0;0;117;62;179;0;0;0;0;0;0;0;0;0
1964;875;1900;2775;195;503;698;3473;121;21;142;298;30;328;834;193;1027;772;296;1068;0;0;0;0;0;0;750;158;908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1963;859;1705;2564;195;435;630;3194;109;20;129;281;32;313;776;172;948;700;256;956;0;0;0;0;0;0;698;150;848;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1962;854;1493;2347;185;362;547;2894;104;17;121;280;33;313;678;147;825;659;216;875;0;0;0;0;0;0;626;134;760;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;849;1448;2297;182;321;503;2800;124;17;141;291;36;327;675;133;808;614;185;799;0;0;0;0;0;0;593;132;725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1960;714;1269;1983;159;279;438;2421;110;12;122;280;32;312;553;104;657;502;173;675;0;0;0;0;0;0;538;117;655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1959;639;1240;1879;121;270;391;2270;113;7;120;266;35;301;534;95;629;481;164;645;0;0;0;0;0;0;485;90;575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1956;485;1198;1683;65;243;308;1991;108;9;117;268;26;294;468;62;530;413;128;541;0;0;0;0;0;0;426;83;509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
