Jahr;Theologie_m;Theologie_f;Jurisprudenz_m;Jurisprudenz_f;Medizin_m;Medizin_f;Philosophie1_m;Philosophie1_f;Psychologie_m;Psychologie_f;Wirtschaft_m;Wirtschaft_f;Philosophie2_m;Philosophie2_f
2021;52;50;452;653;1336;1768;1137;1943;311;879;671;389;1506;1409
2020;57;55;486;716;1299;1751;1107;1903;289;880;713;405;1525;1492
2019;50;56;507;695;1279;1671;1116;1861;247;775;758;421;1518;1424
2018;56;63;487;726;1230;1592;1120;1832;243;729;801;441;1556;1405
2017;59;61;516;747;1244;1531;1165;1869;218;717;875;493;1587;1459
2016;66;62;551;739;1197;1450;1117;1923;222;727;928;500;1598;1481
2015;69;59;545;732;1139;1371;1138;2003;194;704;951;494;1614;1487
2014;66;59;532;691;1113;1347;1178;1981;188;722;978;485;1631;1411
2013;66;53;548;735;1095;1319;1201;1974;192;697;954;479;1613;1424
2012;66;58;526;718;1089;1284;1167;1998;177;668;933;475;1587;1394
2011;62;46;496;716;1017;1296;1170;2005;177;627;875;454;1555;1349
2010;57;60;524;695;969;1237;1164;2060;181;657;816;396;1523;1272
2009;63;61;543;715;880;1181;1181;2053;180;676;804;346;1461;1204
2008;62;64;568;698;868;1197;1187;2015;189;715;740;313;1367;1122
2007;60;69;569;661;856;1152;1125;1881;176;653;659;294;1258;1117
2006;50;57;566;637;794;1078;1080;1760;170;651;670;288;1216;1049
2005;55;62;600;635;738;1034;981;1617;160;553;681;267;1161;1001
2004;62;62;595;617;722;985;917;1457;142;487;664;260;1126;922
2003;64;65;582;580;719;883;877;1405;119;404;653;228;1057;846
2002;67;72;589;572;671;776;919;1601;0;0;629;226;959;733
2001;68;60;599;552;599;663;860;1406;0;0;645;203;963;719
2000;80;56;611;526;668;630;839;1310;0;0;691;199;957;685
1999;75;63;626;517;700;610;850;1290;0;0;734;222;1022;694
1998;59;50;685;549;799;656;854;1247;0;0;714;211;1076;713
1997;65;55;705;528;819;652;839;1224;0;0;749;205;1085;753
1996;71;57;715;514;828;661;820;1190;0;0;783;232;1056;716
1995;88;63;744;507;818;648;795;1174;0;0;809;232;1096;704
1994;89;66;736;507;812;630;774;1134;0;0;820;252;1150;721
1993;93;75;680;497;821;633;777;1102;0;0;779;258;1214;710
1992;101;80;622;432;841;581;743;1023;0;0;740;248;1188;683
1991;127;75;571;419;825;556;692;949;0;0;729;238;1177;654
1990;125;68;539;370;825;519;616;829;0;0;706;227;1164;591
1989;135;72;528;327;856;525;621;790;0;0;713;194;1157;577
1988;159;61;537;302;887;520;1322;928;0;0;0;0;1133;541
1987;159;53;564;287;979;540;1298;880;0;0;0;0;1105;517
1986;156;67;600;281;982;524;1286;856;0;0;0;0;1078;452
1985;154;71;597;302;871;464;1189;816;0;0;0;0;1075;457
1984;150;72;634;299;905;434;1156;724;0;0;0;0;1042;438
1983;146;64;669;310;955;452;1121;680;0;0;0;0;990;417
1982;138;66;653;279;1025;442;1066;635;0;0;0;0;951;379
1981;137;54;640;265;1022;417;983;606;0;0;0;0;889;361
1980;140;49;602;238;1004;381;947;560;0;0;0;0;864;324
1979;119;44;594;237;1084;377;904;530;0;0;0;0;835;287
1978;119;47;591;231;1108;386;875;522;0;0;0;0;846;234
1977;113;40;581;221;1158;378;908;480;0;0;0;0;814;229
1976;115;28;572;197;1231;362;873;477;0;0;0;0;800;217
1975;122;40;542;177;1257;348;854;438;0;0;0;0;775;175
1974;110;37;498;144;1227;345;909;420;0;0;0;0;765;173
1973;105;38;423;116;1210;322;935;408;0;0;0;0;755;180
1972;95;29;381;96;1189;295;934;389;0;0;0;0;780;179
1971;107;32;388;74;1130;284;808;302;0;0;0;0;757;175
1970;111;30;387;57;1066;270;871;319;0;0;0;0;765;191
1969;112;29;378;56;1025;261;969;349;0;0;0;0;771;201
1968;114;17;383;42;935;247;883;301;0;0;0;0;737;175
1967;107;19;354;41;865;224;790;247;0;0;0;0;699;160
1966;114;19;329;41;884;235;799;341;0;0;0;0;770;187
1965;115;19;330;40;888;203;837;352;0;0;0;0;794;189
1964;121;21;298;30;834;193;772;296;0;0;0;0;750;158
1963;109;20;281;32;776;172;700;256;0;0;0;0;698;150
